"","date","home_team","score","away_team","outcome","home"
"1","30 Aug 14","AS Roma","2 - 0","Fiorentina","W",TRUE
"2","13 Sep 14","Empoli","0 - 1","AS Roma","W",FALSE
"3","21 Sep 14","AS Roma","2 - 0","Cagliari","W",TRUE
"4","24 Sep 14","Parma","1 - 2","AS Roma","W",FALSE
"5","27 Sep 14","AS Roma","2 - 0","Hellas Verona","W",TRUE
"6","5 Oct 14","Juventus","3 - 2","AS Roma","L",FALSE
"7","18 Oct 14","AS Roma","3 - 0","Chievo","W",TRUE
"8","25 Oct 14","Sampdoria","0 - 0","AS Roma","T",FALSE
"9","29 Oct 14","AS Roma","2 - 0","Cesena","W",TRUE
"10","1 Nov 14","Napoli","2 - 0","AS Roma","L",FALSE
"11","9 Nov 14","AS Roma","3 - 0","Torino","W",TRUE
"12","22 Nov 14","Atalanta","1 - 2","AS Roma","W",FALSE
"13","30 Nov 14","AS Roma","4 - 2","Inter Milan","W",TRUE
"14","6 Dec 14","AS Roma","2 - 2","Sassuolo","T",TRUE
"15","14 Dec 14","Genoa","0 - 1","AS Roma","W",FALSE
"16","20 Dec 14","AS Roma","0 - 0","AC Milan","T",TRUE
"17","6 Jan 15","Udinese","0 - 1","AS Roma","W",FALSE
"18","11 Jan 15","AS Roma","2 - 2","Lazio Roma","T",TRUE
"19","17 Jan 15","Palermo","1 - 1","AS Roma","T",FALSE
"20","25 Jan 15","Fiorentina","1 - 1","AS Roma","T",FALSE
"21","31 Jan 15","AS Roma","1 - 1","Empoli","T",TRUE
"22","8 Feb 15","Cagliari","1 - 2","AS Roma","W",FALSE
"23","15 Feb 15","AS Roma","0 - 0","Parma","T",TRUE
"24","22 Feb 15","Hellas Verona","1 - 1","AS Roma","T",FALSE
"25","2 Mar 15","AS Roma","1 - 1","Juventus","T",TRUE
"26","8 Mar 15","Chievo","0 - 0","AS Roma","T",FALSE
"27","16 Mar 15","AS Roma","0 - 2","Sampdoria","L",TRUE
"28","22 Mar 15","Cesena","0 - 1","AS Roma","W",FALSE
"29","4 Apr 15","AS Roma","1 - 0","Napoli","W",TRUE
"30","12 Apr 15","Torino","1 - 1","AS Roma","T",FALSE
"31","19 Apr 15","AS Roma","1 - 1","Atalanta","T",TRUE
"32","25 Apr 15","Inter Milan","2 - 1","AS Roma","L",FALSE
"33","29 Apr 15","Sassuolo","0 - 3","AS Roma","W",FALSE
"34","3 May 15","AS Roma","2 - 0","Genoa","W",TRUE
"35","9 May 15","AC Milan","2 - 1","AS Roma","L",FALSE
"36","17 May 15","AS Roma","2 - 1","Udinese","W",TRUE
"37","25 May 15","Lazio Roma","1 - 2","AS Roma","W",FALSE
"38","31 May 15","AS Roma","1 - 2","Palermo","W",TRUE
"39","26 Aug 12","AS Roma","2 - 2","Catania","T",TRUE
"40","2 Sep 12","Inter Milan","1 - 3","AS Roma","W",FALSE
"41","16 Sep 12","AS Roma","2 - 3","Bologna","L",TRUE
"42","23 Sep 12","Cagliari","0 - 3","AS Roma","W",FALSE
"43","26 Sep 12","AS Roma","1 - 1","Sampdoria","T",TRUE
"44","29 Sep 12","Juventus","4 - 1","AS Roma","L",FALSE
"45","7 Oct 12","AS Roma","2 - 0","Atalanta","W",TRUE
"46","21 Oct 12","Genoa","2 - 4","AS Roma","W",FALSE
"47","28 Oct 12","AS Roma","2 - 3","Udinese","L",TRUE
"48","31 Oct 12","Parma","3 - 2","AS Roma","L",FALSE
"49","4 Nov 12","AS Roma","4 - 1","Palermo","W",TRUE
"50","11 Nov 12","Lazio Roma","3 - 2","AS Roma","L",FALSE
"51","19 Nov 12","AS Roma","2 - 0","Torino","W",TRUE
"52","25 Nov 12","Pescara","0 - 1","AS Roma","W",FALSE
"53","2 Dec 12","Siena","1 - 3","AS Roma","W",FALSE
"54","8 Dec 12","AS Roma","4 - 2","Fiorentina","W",TRUE
"55","16 Dec 12","Chievo Verona","1 - 0","AS Roma","L",FALSE
"56","22 Dec 12","AS Roma","4 - 2","AC Milan","W",TRUE
"57","6 Jan 13","Napoli","4 - 1","AS Roma","L",FALSE
"58","13 Jan 13","Catania","1 - 0","AS Roma","L",FALSE
"59","20 Jan 13","AS Roma","1 - 1","Inter Milan","T",TRUE
"60","27 Jan 13","Bologna","3 - 3","AS Roma","T",FALSE
"61","1 Feb 13","AS Roma","2 - 4","Cagliari","W",TRUE
"62","10 Feb 13","Sampdoria","3 - 1","AS Roma","L",FALSE
"63","16 Feb 13","AS Roma","1 - 0","Juventus","W",TRUE
"64","24 Feb 13","Atalanta","2 - 3","AS Roma","W",FALSE
"65","3 Mar 13","AS Roma","3 - 1","Genoa","W",TRUE
"66","9 Mar 13","Udinese","1 - 1","AS Roma","T",FALSE
"67","17 Mar 13","AS Roma","2 - 0","Parma","W",TRUE
"68","30 Mar 13","Palermo","2 - 0","AS Roma","L",FALSE
"69","8 Apr 13","AS Roma","1 - 1","Lazio Roma","T",TRUE
"70","14 Apr 13","Torino","1 - 2","AS Roma","W",FALSE
"71","21 Apr 13","AS Roma","1 - 1","Pescara","T",TRUE
"72","28 Apr 13","AS Roma","4 - 0","Siena","W",TRUE
"73","4 May 13","Fiorentina","0 - 1","AS Roma","W",FALSE
"74","7 May 13","AS Roma","0 - 1","Chievo Verona","L",TRUE
"75","12 May 13","AC Milan","0 - 0","AS Roma","T",FALSE
"76","19 May 13","AS Roma","2 - 1","Napoli","W",TRUE
"77","25 Aug 13","Livorno","0 - 2","AS Roma","W",FALSE
"78","1 Sep 13","AS Roma","3 - 0","Hellas Verona","W",TRUE
"79","16 Sep 13","Parma","1 - 3","AS Roma","W",FALSE
"80","22 Sep 13","AS Roma","2 - 0","Lazio Roma","W",TRUE
"81","25 Sep 13","Sampdoria","0 - 2","AS Roma","W",FALSE
"82","29 Sep 13","AS Roma","5 - 0","Bologna","W",TRUE
"83","5 Oct 13","Inter Milan","0 - 3","AS Roma","W",FALSE
"84","18 Oct 13","AS Roma","2 - 0","Napoli","W",TRUE
"85","27 Oct 13","Udinese","0 - 1","AS Roma","W",FALSE
"86","31 Oct 13","AS Roma","1 - 0","Chievo","W",TRUE
"87","3 Nov 13","Torino","1 - 1","AS Roma","T",FALSE
"88","10 Nov 13","AS Roma","1 - 1","Sassuolo","T",TRUE
"89","25 Nov 13","AS Roma","0 - 0","Cagliari","T",TRUE
"90","1 Dec 13","Atalanta","1 - 1","AS Roma","T",FALSE
"91","8 Dec 13","AS Roma","2 - 1","Fiorentina","W",TRUE
"92","16 Dec 13","AC Milan","2 - 2","AS Roma","T",FALSE
"93","22 Dec 13","AS Roma","4 - 0","Catania","W",TRUE
"94","5 Jan 14","Juventus","3 - 0","AS Roma","L",FALSE
"95","12 Jan 14","AS Roma","4 - 0","Genoa","W",TRUE
"96","18 Jan 14","AS Roma","3 - 0","Livorno","W",TRUE
"97","26 Jan 14","Hellas Verona","1 - 3","AS Roma","W",FALSE
"98","9 Feb 14","Lazio Roma","0 - 0","AS Roma","T",FALSE
"99","16 Feb 14","AS Roma","3 - 0","Sampdoria","W",TRUE
"100","22 Feb 14","Bologna","0 - 1","AS Roma","W",FALSE
"101","1 Mar 14","AS Roma","0 - 0","Inter Milan","T",TRUE
"102","9 Mar 14","Napoli","1 - 0","AS Roma","L",FALSE
"103","17 Mar 14","AS Roma","3 - 2","Udinese","W",TRUE
"104","22 Mar 14","Chievo","0 - 2","AS Roma","W",FALSE
"105","25 Mar 14","AS Roma","2 - 1","Torino","W",TRUE
"106","30 Mar 14","Sassuolo","0 - 2","AS Roma","W",FALSE
"107","2 Apr 14","AS Roma","4 - 2","Parma","W",TRUE
"108","6 Apr 14","Cagliari","1 - 3","AS Roma","W",FALSE
"109","12 Apr 14","AS Roma","3 - 1","Atalanta","W",TRUE
"110","19 Apr 14","Fiorentina","0 - 1","AS Roma","W",FALSE
"111","25 Apr 14","AS Roma","2 - 0","AC Milan","W",TRUE
"112","4 May 14","Catania","4 - 1","AS Roma","L",FALSE
"113","11 May 14","AS Roma","0 - 1","Juventus","L",TRUE
"114","18 May 14","Genoa","1 - 0","AS Roma","L",FALSE
